# state	agent	action	depth	score	prior_nodes	visits	wins	losses	draws
100004010.W0000040.B.C.D.0.-.-.0.L.5	rust-evo-g1-c0-279-109-820-53-117-66	0D	2	-708	215	1	0	1	0
100004010.W0000040.B.C.D.0.-.-.0.L.5	rust-evo-g1-c1-229-106-774-47-126-70	0D	2	-701	215	1	0	1	0
100004010.W0000040.B.C.D.0.-.-.0.L.5	rust-evo-g1-c2-235-107-762-48-141-65	0D	2	-665	215	1	0	1	0
100004010.W0000040.B.C.D.0.-.-.0.L.5	rust-evo-g1-c3-283-110-783-63-106-94	0D	2	-708	215	1	0	1	0
100004010.W0000040.B.C.D.0.-.-.0.L.5	rust-handcrafted-g0	0D	2	-630	215	2	0	2	0
100004010.W0000240.B.B.L.0.-.-.0.D.6	rust-evo-g1-c0-279-109-820-53-117-66	0R	2	-375	414	1	1	0	0
100004010.W0000240.B.B.L.0.-.-.0.D.6	rust-evo-g1-c3-283-110-783-63-106-94	0R	2	-366	414	1	1	0	0
100004010.W0000240.B.B.L.0.-.-.0.D.6	rust-handcrafted-g0	0R	2	-270	414	4	4	0	0
100084010.W0000240.A.B.D.0.-.-.0.L.7	rust-evo-g1-c0-279-109-820-53-117-66	0C	2	-546	166	1	0	1	0
100084010.W0000240.A.B.D.0.-.-.0.L.7	rust-evo-g1-c1-229-106-774-47-126-70	0k	2	-531	206	1	0	1	0
100084010.W0000240.A.B.D.0.-.-.0.L.7	rust-evo-g1-c2-235-107-762-48-141-65	0k	2	-548	206	1	0	1	0
100084010.W0000240.A.B.D.0.-.-.0.L.7	rust-evo-g1-c3-283-110-783-63-106-94	0C	2	-531	166	1	0	1	0
100084010.W0000240.A.B.D.0.-.-.0.L.7	rust-handcrafted-g0	0C	2	-520	166	2	0	2	0
100084010.W0000340.A.A.L.0.-.-.0.D.8	rust-evo-g1-c0-279-109-820-53-117-66	0A	2	-266	279	1	1	0	0
100084010.W0000340.A.A.L.0.-.-.0.D.8	rust-evo-g1-c3-283-110-783-63-106-94	0A	2	-252	279	1	1	0	0
100084010.W0000340.A.A.L.0.-.-.0.D.8	rust-handcrafted-g0	0A	2	-215	279	2	2	0	0
100084010.m0000240.A.A.L.0.-.-.0.D.8	rust-handcrafted-g0	07	2	-30	162	2	2	0	0
100084030.m0000240.9.A.D.0.-.-.0.L.9	rust-evo-g1-c1-229-106-774-47-126-70	09	2	-508	234	1	0	1	0
100084030.m0000240.9.A.D.0.-.-.0.L.9	rust-evo-g1-c2-235-107-762-48-141-65	09	2	-501	234	1	0	1	0
100084030.m00002C0.9.9.L.0.-.-.0.D.A	rust-handcrafted-g0	0B	2	-30	228	2	2	0	0
1000840H0.W0000340.9.A.D.0.-.-.0.L.9	rust-evo-g1-c0-279-109-820-53-117-66	0k	2	-507	725	1	0	1	0
1000840H0.W0000340.9.A.D.0.-.-.0.L.9	rust-evo-g1-c3-283-110-783-63-106-94	0k	2	-550	725	1	0	1	0
1000840H0.W0000340.9.A.D.0.-.-.0.L.9	rust-handcrafted-g0	0k	2	-485	651	2	0	2	0
1000840H0.m0000340.9.9.L.0.-.-.0.D.A	rust-evo-g1-c0-279-109-820-53-117-66	03	2	-104	228	1	1	0	0
1000840H0.m0000340.9.9.L.0.-.-.0.D.A	rust-evo-g1-c3-283-110-783-63-106-94	03	2	-75	228	1	1	0	0
1000840H0.m0000340.9.9.L.0.-.-.0.D.A	rust-handcrafted-g0	03	2	-105	191	2	2	0	0
1000840H8.m0000340.8.9.D.0.-.-.0.L.B	rust-evo-g1-c0-279-109-820-53-117-66	0B	2	-616	150	1	0	1	0
1000840H8.m0000340.8.9.D.0.-.-.0.L.B	rust-evo-g1-c3-283-110-783-63-106-94	0B	2	-664	150	1	0	1	0
1000840H8.m0000340.8.9.D.0.-.-.0.L.B	rust-handcrafted-g0	0B	2	-540	150	2	0	2	0
1000840H8.m00003a0.8.8.L.0.-.-.0.D.C	rust-evo-g1-c0-279-109-820-53-117-66	09	2	-279	320	1	1	0	0
1000840H8.m00003a0.8.8.L.0.-.-.0.D.C	rust-evo-g1-c3-283-110-783-63-106-94	09	2	-283	460	1	1	0	0
1000840H8.m00003a0.8.8.L.0.-.-.0.D.C	rust-handcrafted-g0	09	2	-240	250	2	2	0	0
1000840P8.m00003a0.7.8.D.0.-.-.0.L.D	rust-evo-g1-c0-279-109-820-53-117-66	07	2	-720	379	1	0	1	0
1000840P8.m00003a0.7.8.D.0.-.-.0.L.D	rust-evo-g1-c3-283-110-783-63-106-94	07	2	-739	379	1	0	1	0
1000840P8.m00003a0.7.8.D.0.-.-.0.L.D	rust-handcrafted-g0	07	2	-645	278	2	0	2	0
1000840P8.m00003c0.7.7.L.0.-.-.0.D.E	rust-evo-g1-c0-279-109-820-53-117-66	0H	2	215	171	1	1	0	0
1000840P8.m00003c0.7.7.L.0.-.-.0.D.E	rust-evo-g1-c3-283-110-783-63-106-94	0H	2	240	171	1	1	0	0
1000840P8.m00003c0.7.7.L.0.-.-.0.D.E	rust-handcrafted-g0	0H	2	165	171	2	2	0	0
1000840Z0.m00002C0.8.9.D.0.-.-.0.L.B	rust-evo-g1-c1-229-106-774-47-126-70	00	2	-485	222	1	0	1	0
1000840Z0.m00002C0.8.9.D.0.-.-.0.L.B	rust-evo-g1-c2-235-107-762-48-141-65	00	2	-484	222	1	0	1	0
1000840Z0.m00002C1.8.8.L.0.-.-.0.D.C	rust-handcrafted-g0	04	2	-330	601	2	2	0	0
1000840ZG.m00002C1.7.8.D.0.-.-.0.L.D	rust-evo-g1-c1-229-106-774-47-126-70	05	2	-588	312	1	0	1	0
1000840ZG.m00002C1.7.8.D.0.-.-.0.L.D	rust-evo-g1-c2-235-107-762-48-141-65	05	2	-578	312	1	0	1	0
1000840ZG.m00002CX.7.7.L.0.-.-.0.D.E	rust-handcrafted-g0	03	2	-275	653	2	2	0	0
1000840ZO.m00002CX.6.7.D.0.-.-.0.L.F	rust-evo-g1-c1-229-106-774-47-126-70	0C	2	-588	262	1	0	1	0
1000840ZO.m00002CX.6.7.D.0.-.-.0.L.F	rust-evo-g1-c2-235-107-762-48-141-65	0C	2	-578	262	1	0	1	0
1000840ZO.m00003CX.6.6.L.0.-.-.0.D.G	rust-handcrafted-g0	0A	2	-515	461	2	2	0	0
1000840pO.m00003CX.5.6.D.0.-.-.0.L.H	rust-evo-g1-c1-229-106-774-47-126-70	0g	2	-532	336	1	0	1	0
1000840pO.m00003CX.5.6.D.0.-.-.0.L.H	rust-evo-g1-c2-235-107-762-48-141-65	0g	2	-532	336	1	0	1	0
1000840pO.n00003CX.5.5.L.0.-.-.0.D.I	rust-handcrafted-g0	0E	2	-110	238	2	2	0	0
1000844pO.n00003CX.4.5.D.0.-.-.0.L.J	rust-evo-g1-c1-229-106-774-47-126-70	01	2	-611	230	1	0	1	0
1000844pO.n00003CX.4.5.D.0.-.-.0.L.J	rust-evo-g1-c2-235-107-762-48-141-65	01	2	-625	230	1	0	1	0
1000844pO.n00003CZ.4.4.L.0.-.-.0.D.K	rust-handcrafted-g0	0H	2	55	141	2	2	0	0
100084WP8.m00003c0.6.7.D.0.-.-.0.L.F	rust-evo-g1-c0-279-109-820-53-117-66	04	2	-999	262	1	0	1	0
100084WP8.m00003c0.6.7.D.0.-.-.0.L.F	rust-evo-g1-c3-283-110-783-63-106-94	04	2	-1022	262	1	0	1	0
100084WP8.m00003c0.6.7.D.0.-.-.0.L.F	rust-handcrafted-g0	04	2	-885	262	2	0	2	0
100084WP8.m00003cG.6.6.L.0.-.-.0.D.G	rust-evo-g1-c0-279-109-820-53-117-66	05	2	441	130	1	1	0	0
100084WP8.m00003cG.6.6.L.0.-.-.0.D.G	rust-evo-g1-c3-283-110-783-63-106-94	05	2	456	130	1	1	0	0
100084WP8.m00003cG.6.6.L.0.-.-.0.D.G	rust-handcrafted-g0	05	2	405	130	2	2	0	0
100084WPe.m00003c0.5.7.D.G.-.-.1.L.H	rust-evo-g1-c0-279-109-820-53-117-66	0e	2	-1758	1083	1	0	1	0
100084WPe.m00003c0.5.7.D.G.-.-.1.L.H	rust-evo-g1-c3-283-110-783-63-106-94	0e	2	-1742	1083	1	0	1	0
100084WPe.m00003c0.5.7.D.G.-.-.1.L.H	rust-handcrafted-g0	0e	2	-1565	1083	2	0	2	0
100084WPe.mG0003c0.5.6.L.0.-.-.0.D.I	rust-evo-g1-c0-279-109-820-53-117-66	0f	2	622	156	1	1	0	0
100084WPe.mG0003c0.5.6.L.0.-.-.0.D.I	rust-evo-g1-c3-283-110-783-63-106-94	0f	2	605	156	1	1	0	0
100084WPe.mG0003c0.5.6.L.0.-.-.0.D.I	rust-handcrafted-g0	0f	2	610	156	2	2	0	0
100084apO.n00003CZ.3.4.D.0.-.-.0.L.L	rust-evo-g1-c1-229-106-774-47-126-70	0j	2	-611	162	1	0	1	0
100084apO.n00003CZ.3.4.D.0.-.-.0.L.L	rust-evo-g1-c2-235-107-762-48-141-65	0j	2	-625	162	1	0	1	0
100084apO.v00003CZ.3.3.L.0.-.-.0.D.M	rust-handcrafted-g0	02	2	-110	206	2	2	0	0
100084apS.v00003CZ.2.3.D.0.-.-.0.L.N	rust-evo-g1-c1-229-106-774-47-126-70	0e	2	-898	628	1	0	1	0
100084apS.v00003CZ.2.3.D.0.-.-.0.L.N	rust-evo-g1-c2-235-107-762-48-141-65	0e	2	-885	604	1	0	1	0
100084apS.vG0003CZ.2.2.L.0.-.-.0.D.O	rust-handcrafted-g0	0f	2	-110	167	2	2	0	0
1004230W0.O010400G.8.9.D.0.-.-.0.L.B	rust-evo-g1-c2-235-107-762-48-141-65	03	2	-645	222	1	0	0	1
1004230W0.O010400O.8.8.L.0.-.-.0.D.C	rust-handcrafted-g0	00	2	-50	216	1	0	0	1
1004230W1.O010400O.7.8.D.0.-.-.0.L.D	rust-evo-g1-c2-235-107-762-48-141-65	05	2	-503	175	1	0	0	1
1004230W1.O010400u.7.7.L.0.-.-.0.D.E	rust-handcrafted-g0	0X	2	-50	204	1	0	0	1
100633uY1.u41W400-.1.2.D.0.-.-.0.L.P	rust-evo-g1-c3-283-110-783-63-106-94	0e	2	-908	116	1	0	1	0
100633uY1.uK1W400-.1.1.L.0.-.-.0.D.Q	rust-handcrafted-g0	0f	2	135	90	1	1	0	0
100C230W1.O010400u.6.7.D.0.-.-.0.L.F	rust-evo-g1-c2-235-107-762-48-141-65	06	2	-316	166	1	0	0	1
100C230W1.O010401u.6.6.L.0.-.-.0.D.G	rust-handcrafted-g0	07	2	-105	161	1	0	0	1
100C230Y1.O010401u.5.6.D.0.-.-.0.L.H	rust-evo-g1-c2-235-107-762-48-141-65	02	2	-455	156	1	0	0	1
100C230Y1.O010401y.5.5.L.0.-.-.0.D.I	rust-handcrafted-g0	0E	2	-185	122	1	0	0	1
100C234Y1.O010401y.4.5.D.0.-.-.0.L.J	rust-evo-g1-c2-235-107-762-48-141-65	09	2	-407	202	1	0	0	1
100C234Y1.O010409y.4.4.L.0.-.-.0.D.K	rust-handcrafted-g0	0L	2	-110	114	1	0	0	1
100C2B4Y1.O010409y.3.4.D.0.-.-.0.L.L	rust-evo-g1-c2-235-107-762-48-141-65	0Z	2	-483	136	1	0	0	1
100C2B4Y1.O0X0409y.3.3.L.0.-.-.0.D.M	rust-handcrafted-g0	0M	2	-240	181	1	0	0	1
100C2R4Y1.O0X0409y.2.3.D.0.-.-.0.L.N	rust-evo-g1-c2-235-107-762-48-141-65	0A	2	-388	174	1	0	0	1
100C2R4Y1.O0X040Py.2.2.L.0.-.-.0.D.O	rust-handcrafted-g0	0C	2	-240	236	1	0	0	1
100C2R5Y1.O0X040Py.1.2.D.0.-.-.0.L.P	rust-evo-g1-c2-235-107-762-48-141-65	0a	2	-342	116	1	0	0	1
100C2R5Y1.O1X040Py.1.1.L.0.-.-.0.D.Q	rust-handcrafted-g0	0Y	2	-315	132	1	0	0	1
100S2R5Y1.O1X040Py.0.1.D.0.-.-.0.L.R	rust-evo-g1-c2-235-107-762-48-141-65	0T	2	-94	114	1	0	0	1
100S2R5Y1.O1XW40Py.0.0.L.0.-.-.0.D.S	rust-handcrafted-g0	9r	2	-370	978	1	0	0	1
1046230W1.O01W400u.5.6.D.0.-.-.0.L.H	rust-evo-g1-c0-279-109-820-53-117-66	06	2	-387	156	1	1	0	0
1046230W1.O01W400u.5.6.D.0.-.-.0.L.H	rust-evo-g1-c1-229-106-774-47-126-70	06	2	-364	156	1	1	0	0
1046230W1.O01W400u.5.6.D.0.-.-.0.L.H	rust-handcrafted-g0	06	2	-410	156	3	0	3	0
1046230W1.O01W401u.5.5.L.0.-.-.0.D.I	rust-evo-g1-c0-279-109-820-53-117-66	07	2	-120	151	1	1	0	0
1046230W1.O01W401u.5.5.L.0.-.-.0.D.I	rust-evo-g1-c1-229-106-774-47-126-70	07	2	-88	151	1	1	0	0
1046230W1.O01W401u.5.5.L.0.-.-.0.D.I	rust-evo-g1-c2-235-107-762-48-141-65	07	2	-91	151	1	1	0	0
1046230W1.O01W401u.5.5.L.0.-.-.0.D.I	rust-handcrafted-g0	07	2	-75	151	2	0	2	0
1046230Y1.O01W401u.4.5.D.0.-.-.0.L.J	rust-evo-g1-c0-279-109-820-53-117-66	0S	2	-321	146	1	1	0	0
1046230Y1.O01W401u.4.5.D.0.-.-.0.L.J	rust-evo-g1-c1-229-106-774-47-126-70	0S	2	-294	146	1	1	0	0
1046230Y1.O01W401u.4.5.D.0.-.-.0.L.J	rust-handcrafted-g0	0S	2	-330	146	3	0	3	0
1046230Y1.O01m401u.4.4.L.0.-.-.0.D.K	rust-evo-g1-c0-279-109-820-53-117-66	08	2	-452	141	1	1	0	0
1046230Y1.O01m401u.4.4.L.0.-.-.0.D.K	rust-evo-g1-c1-229-106-774-47-126-70	08	2	-364	141	1	1	0	0
1046230Y1.O01m401u.4.4.L.0.-.-.0.D.K	rust-evo-g1-c2-235-107-762-48-141-65	08	2	-374	141	1	1	0	0
1046230Y1.O01m401u.4.4.L.0.-.-.0.D.K	rust-handcrafted-g0	08	2	-370	141	2	0	2	0
1046230c1.O01m401u.3.4.D.0.-.-.0.L.L	rust-evo-g1-c0-279-109-820-53-117-66	0N	2	-268	188	1	1	0	0
1046230c1.O01m401u.3.4.D.0.-.-.0.L.L	rust-evo-g1-c1-229-106-774-47-126-70	0N	2	-247	188	1	1	0	0
1046230c1.O01m401u.3.4.D.0.-.-.0.L.L	rust-handcrafted-g0	0N	2	-275	188	3	0	3	0
1046230c1.O01ma01u.3.3.L.0.-.-.0.D.M	rust-evo-g1-c0-279-109-820-53-117-66	0F	2	-452	206	1	1	0	0
1046230c1.O01ma01u.3.3.L.0.-.-.0.D.M	rust-evo-g1-c1-229-106-774-47-126-70	0F	2	-364	156	1	1	0	0
1046230c1.O01ma01u.3.3.L.0.-.-.0.D.M	rust-evo-g1-c2-235-107-762-48-141-65	0F	2	-374	156	1	1	0	0
1046230c1.O01ma01u.3.3.L.0.-.-.0.D.M	rust-handcrafted-g0	0F	2	-370	156	2	0	2	0
1046238c1.O01ma01u.2.3.D.0.-.-.0.L.N	rust-evo-g1-c0-279-109-820-53-117-66	0i	2	-42	174	1	1	0	0
1046238c1.O01ma01u.2.3.D.0.-.-.0.L.N	rust-evo-g1-c1-229-106-774-47-126-70	0i	2	-65	174	1	1	0	0
1046238c1.O01ma01u.2.3.D.0.-.-.0.L.N	rust-handcrafted-g0	02	2	-90	150	3	0	3	0
1046238c1.O01ma01y.2.2.L.0.-.-.0.D.O	rust-evo-g1-c0-279-109-820-53-117-66	0O	2	-561	190	1	1	0	0
1046238c1.O01ma01y.2.2.L.0.-.-.0.D.O	rust-evo-g1-c1-229-106-774-47-126-70	0O	2	-420	167	1	1	0	0
1046238c1.O01ma01y.2.2.L.0.-.-.0.D.O	rust-evo-g1-c2-235-107-762-48-141-65	0O	2	-420	167	1	1	0	0
1046238c1.S01ma01u.2.2.L.0.-.-.0.D.O	rust-handcrafted-g0	0X	2	-315	121	2	0	2	0
1046338c1.O01ma01y.1.2.D.0.-.-.0.L.P	rust-handcrafted-g0	0M	2	-625	287	3	0	3	0
1046338c1.O01mq01y.1.1.L.0.-.-.0.D.Q	rust-evo-g1-c0-279-109-820-53-117-66	0D	2	-614	174	1	1	0	0
1046338c1.O01mq01y.1.1.L.0.-.-.0.D.Q	rust-evo-g1-c1-229-106-774-47-126-70	0D	2	-490	174	1	1	0	0
1046338c1.O01mq01y.1.1.L.0.-.-.0.D.Q	rust-evo-g1-c2-235-107-762-48-141-65	0D	2	-515	174	1	1	0	0
104633Ac1.O01mq01y.0.1.D.0.-.-.0.L.R	rust-handcrafted-g0	0G	2	0	162	3	0	3	0
104633Ac1.O01mqG1y.0.0.L.0.-.-.0.D.S	rust-evo-g1-c0-279-109-820-53-117-66	9T	2	-335	902	1	1	0	0
104633Ac1.O01mqG1y.0.0.L.0.-.-.0.D.S	rust-evo-g1-c1-229-106-774-47-126-70	9T	2	-238	902	1	1	0	0
104633Ac1.O01mqG1y.0.0.L.0.-.-.0.D.S	rust-evo-g1-c2-235-107-762-48-141-65	9T	2	-233	902	1	1	0	0
104633e61.O21mm09y.1.0.L.G00.G.9.1.D.W	rust-evo-g1-c0-279-109-820-53-117-66	0A	2	-1381	103	1	1	0	0
104633e61.O21mm09y.1.0.L.G00.G.9.1.D.W	rust-evo-g1-c1-229-106-774-47-126-70	0A	2	-1244	103	1	1	0	0
104633e61.O21mm09y.1.0.L.G00.G.9.1.D.W	rust-evo-g1-c2-235-107-762-48-141-65	0A	2	-1243	103	1	1	0	0
104633eM1.O21mm01y.0.1.D.80.-.9.1.L.X	rust-handcrafted-g0	0i	2	-90	131	3	0	3	0
104633eM1.S21mm01y.0.0.L.0.-.-.0.D.Y	rust-evo-g1-c0-279-109-820-53-117-66	8h	2	-237	1185	1	1	0	0
104633eM1.S21mm01y.0.0.L.0.-.-.0.D.Y	rust-evo-g1-c1-229-106-774-47-126-70	8h	2	-214	1185	1	1	0	0
104633eM1.S21mm01y.0.0.L.0.-.-.0.D.Y	rust-evo-g1-c2-235-107-762-48-141-65	8h	2	-232	1185	1	1	0	0
104633g61.O01mq01y.0.1.D.G00.H.-.1.L.T	rust-handcrafted-g0	0b	2	-570	111	3	0	3	0
104633g61.O21mq01y.0.0.L.0.H.-.0.D.U	rust-evo-g1-c0-279-109-820-53-117-66	A-	2	95	1015	1	1	0	0
104633g61.O21mq01y.0.0.L.0.H.-.0.D.U	rust-evo-g1-c1-229-106-774-47-126-70	A-	2	62	1015	1	1	0	0
104633g61.O21mq01y.0.0.L.0.H.-.0.D.U	rust-evo-g1-c2-235-107-762-48-141-65	A-	2	51	995	1	1	0	0
104633u61.O21mq01y.0.0.D.0.G.-.0.L.V	rust-handcrafted-g0	GE	2	-495	1129	3	0	3	0
104633u61.S21mm01y.0.0.D.0.G.-.0.L.Z	rust-handcrafted-g0	2x	2	-405	1159	3	0	3	0
104633u61.SI1mm01u.0.0.L.0.G.e.0.D.a	rust-evo-g1-c0-279-109-820-53-117-66	Fu	2	-1102	1044	1	1	0	0
104633u61.SI1mm01u.0.0.L.0.G.e.0.D.a	rust-evo-g1-c1-229-106-774-47-126-70	Fu	2	-1015	1044	1	1	0	0
104633u61.SI1mm01u.0.0.L.0.G.e.0.D.a	rust-evo-g1-c2-235-107-762-48-141-65	Fu	2	-1008	1044	1	1	0	0
104E238c1.S01ma01u.1.2.D.0.-.-.0.L.P	rust-evo-g1-c0-279-109-820-53-117-66	02	2	-151	138	1	1	0	0
