# p1	seed64	light	dark	winner	reason	2-char-actions
p1	2csYVN	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	L	P	0k0m0N04000l0j0E0c0F0H030V020O090I0G0U05060C0D0K0B0J0C
p1	2csYVN	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	L	P	0k0m0N04000l0j0E0c0F0H030V020O05060C0D0B0K010Q0I0W0J0X0REK0P1C
p1	2csYVO	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	L	P	0m0i050G0C0L0J0M0Q0N0X06040D0B0K0I0R0P0Y0W0f0d0k0j0c0V0F4R
p1	2csYVO	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	L	P	0m0i050G0C0L0J0M0Q0N0X06040D0B0K0I0R0P0Y0W0e0f000d010e
p1	2csYVP	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	D	P	0h0A0j0I0a0H0T0J0M0K0F09000i070g0k0L0N0E080G0h0F
p1	2csYVP	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	D	P	0h0A0j0I0a0H0T0J0M0K0F09000i070g0k0L0N0E080G0h0F
p1	2csYVQ	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	D	P	0f060U070m05010G0N09080V0T0A0a0h0g0F0M0Z0b0F0E0L000E030H0B047CRi0pY41q6eWiJL0P40
p1	2csYVQ	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	D	P	0f060U070m05010G0N09080V0T0A0a0h0g0F0M0Z0b0F0E0L000E030H0B046xOe14Rs0Z6J
p1	2csYVR	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	-	M	09060J0P020O0G0U0F0N0g0E0C0D0B040I0W0A0X0Y03010H050A080Q0R5h4yBq003XDg8nXg45CJEY1VDF3EIt6vBs7jHI0rHy1dIc2PJG3LMZ5Q6N4ebe3sCGa3I3bW171d6N2PMK3tCG5RI32P173t6N3DMK2ZCG5R6N4f0u3tCG356ND40u1cCG2OI33K173x6ND3MK7jCG2NI35P173x6N2NMK5PCG3xI32N175P6N
p1	2csYVR	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	-	M	09060J0P020U0G0O0F0N0g0E0C0D0B040I0W0A0X0Y03010H050A080Q0R5h4yBq003XDgHI8P45CJ9BXfE76zDF0sIt1eBr2THD3LHy5QIc4eJG3sMZ3D6N1bbe2NCGa1I3bW172O6N3KMK3xCGD4I35R173K6N3xMKD3CG7jI32N175P6N3xMK2NCG5PI33x172N6N5PMK3xCG2NI35P173x6N2NMK5PCG3xI32N175P6N
p1	2csYVS	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	D	P	0U07050P0i0b0N06040O0M0Q0R0H0T080C090F010G020I0W030H0A0B000E0I0VEs0X1J5hYk6i3H0cEU0I4TSf0AOnB1U4ZCJK0LBh0A9h0O0JLjOh0EA74f040aAnQz1f
p1	2csYVS	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	-	M	0U07050P0i0b0N06040O0M0Q0F0R0T010G02030J0A0a0h0c0Z0a0H0g520WNT0T3n0XCs2w0F28No5r0L6dZGFe3sK73DLD1bB82NGU3FL37jLs3tJa9DKE3DKu1bRD2NB13FLf7jFl3tB19DGN3DQR1bEt2NFX3FKR7jB13tLf9DFl3DB11bGN2NQR3FEt7jFX3tKR9DB13DGN1bQR2NEt3FFX7jKR3tB19DGN3DQR1bEt
p1	2csYVT	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	L	P	0N0D0H0W0A030O02000407010E0S0U0T0V0X0F0Y0b0i0G0h0a0M0L0Z910MEV
p1	2csYVT	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	-	M	0N0D0H0W0G0i09020U0100030V0X07080A0j0g0L0T0c0O040a0F0E0S800F8a0ZP52DJm087m2vDQ0kUy0f5l7WKg3cGF4L0qCgbmHF34Pv8SKLCbK_1gQFDpTz0pVN6N5g1hAw79W9CXAAJJFQ2Mc97i5g3DB02MGV7iEt3DFX2MKn7iW93D5g2MB07iGV3DEt2MFX7iKn3Dc92M5g7iB03DGV2MEt7iFX3DKn2MW97i5g
p1	2csYVU	rust-evo-g1-c0-279-109-820-53-117-66	rust-handcrafted-g0	L	P	0a0W090702080A0Y0T0F0h0G0N0E0H0G0U0I050H0O0J0H
p1	2csYVU	rust-handcrafted-g0	rust-evo-g1-c0-279-109-820-53-117-66	L	P	0a0W090702080A0Y0T0F0h0G0N0E0H0G0U0I050H0O0J0H

